351492	10426	40.541	185	96	4	60	239	48	223	1.07e-34	125	277	263	65
351492	9611	35.052	97	58	2	111	207	120	211	1.05e-11	63.5	277	276	35
351492	14688	37.113	97	54	4	109	203	188	279	9.98e-10	58.2	277	335	34
351492	122	34.314	102	61	3	104	203	115	212	1.70e-08	54.3	277	307	36
414244	10426	41.221	131	69	4	1	125	92	220	4.92e-26	99.4	162	263	77
414244	9611	34.783	92	56	2	5	96	120	207	4.69e-09	53.5	162	276	57
414244	122	34.021	97	59	3	2	96	119	212	7.79e-09	53.1	162	307	59
414244	14688	33.981	103	54	3	2	98	187	281	6.97e-07	47.4	162	335	60
433098	9611	64.490	245	85	1	8	250	11	255	5.57e-118	338	267	276	91
433098	122	36.667	120	67	5	109	220	116	234	7.12e-11	61.2	267	307	42
433098	28099	30.556	180	97	6	42	208	47	211	1.21e-07	51.6	267	317	63
433098	10426	32.479	117	65	4	100	202	76	192	1.28e-06	48.5	267	263	39
433098	6385	33.010	103	58	5	114	208	165	264	3.80e-06	47.4	267	349	36
70214	6385	59.149	235	96	0	1	235	61	295	4.77e-99	295	318	349	74
70214	28099	34.983	303	182	5	1	301	12	301	5.17e-47	160	318	317	95
70214	9611	35.185	108	53	5	104	205	118	214	7.65e-07	49.7	318	276	32
70214	14688	30.000	150	78	6	81	218	165	299	8.70e-06	46.6	318	335	43
